,city,lat,temp_max,windspeed,cloudiness,humidity
275,nanortalik,60.14,37.83,30.38,92,93
276,xining,36.62,44.4,2.42,24,91
277,pahrump,36.21,93.2,13.87,1,12
278,rongcheng,37.16,70.14,3.09,56,96
279,te anau,-45.41,37.56,3.42,92,90
280,along,28.17,68.52,1.41,92,99
281,alice springs,-23.7,44.6,6.93,0,28
282,naze,5.43,77.7,6.33,80,88
283,la ronge,55.1,62.6,13.87,90,63
284,ibra,22.69,86.97,4.32,0,41
285,jacareacanga,-6.22,95.25,2.98,0,37
286,lewisburg,40.96,91.4,3.36,1,55
287,cabedelo,-6.97,82.4,17.22,40,61
288,dingle,11.0,73.92,4.43,56,96
289,srednekolymsk,67.46,67.98,5.44,0,29
290,kruisfontein,-34.0,54.3,9.24,0,99
291,windhoek,-22.57,55.4,2.24,0,26
292,puerto ayora,-0.74,75.2,18.34,40,83
293,faanui,-16.48,78.96,6.11,36,100
294,belaya gora,68.54,67.53,10.36,0,42
295,klaksvik,62.23,53.6,16.11,24,93
296,talara,-4.58,78.78,7.23,0,63
297,parkes,-33.14,42.87,4.65,0,86
298,kurchum,48.57,64.47,13.94,0,61
299,bereda,43.27,66.2,9.17,40,82
300,lagunas,-5.23,89.76,2.75,68,50
301,batagay-alyta,67.8,61.05,8.46,88,81
302,hirara,24.8,78.24,25.9,92,100
303,aykino,62.22,72.93,15.61,48,66
304,zhezkazgan,47.8,69.78,13.15,0,36
305,victoria,5.28,77.0,2.24,75,94
306,bejucal,22.93,89.6,6.93,75,62
307,ahipara,-35.17,51.78,10.36,80,100
308,erzin,36.95,82.4,17.22,0,65
309,ostrovnoy,68.05,56.01,11.48,100,95
310,lastoursville,-0.81,77.25,1.97,24,87
311,trincomalee,8.58,80.67,13.94,8,74
312,roebourne,-20.77,65.01,13.6,0,48
313,narrabri,-30.33,52.5,4.65,68,86
314,lagoa,37.14,71.6,20.8,0,68
315,ploufragan,48.49,71.6,9.17,0,77
316,guerrero negro,27.97,79.32,7.56,0,54
317,puri,-7.54,67.8,6.78,44,92
318,churapcha,62.0,67.89,9.91,80,56
319,nome,30.04,75.2,9.46,90,94
320,evensk,61.92,51.6,3.42,0,84
321,grindavik,63.84,51.8,18.34,75,81
322,non thai,15.2,78.8,5.82,20,88
323,ambulu,-8.35,74.19,10.69,88,100
324,nurlat,54.43,74.28,6.11,0,42
325,santa helena de goias,-17.81,86.07,8.57,0,37
326,usinsk,66.0,62.31,8.34,0,50
327,roald,62.58,69.8,17.22,0,82
328,eydhafushi,5.1,83.55,9.24,36,99
329,petropavlovsk-kamchatskiy,53.05,46.4,2.24,90,100
330,pho chai,16.33,76.62,12.82,8,86
331,agbor,6.26,76.53,8.12,68,93
332,peterhead,-34.83,55.4,18.34,8,62
333,mount pleasant,33.16,86.0,10.29,40,62
334,dezful,32.38,89.22,4.76,0,19
335,hohhot,40.81,66.2,4.47,0,68
336,letlhakane,-21.42,55.92,17.52,48,71
337,mauriti,-7.39,88.77,13.82,0,26
338,vardo,39.62,96.8,12.75,90,78
339,seoul,37.57,75.2,5.82,75,100
340,oranjemund,-28.55,61.95,19.64,0,85
341,alofi,-19.06,74.37,11.7,36,100
342,ust-omchug,61.13,41.16,2.3,0,83
343,bullhead city,35.15,102.2,5.82,5,13
344,acapulco,16.86,86.0,4.7,20,74
345,micheweni,-4.97,79.68,18.3,80,96
346,severo-kurilsk,50.68,44.13,11.81,92,99
347,puerto castilla,40.29,74.55,4.65,0,33
348,samarai,-10.62,77.88,20.09,92,99
349,caruray,10.31,82.83,15.5,68,100
350,palmer,61.6,66.2,4.7,1,55
351,nelson bay,-32.72,53.6,5.82,90,100
352,catia la mar,10.6,75.2,4.7,75,88
353,rocha,-34.48,49.8,4.21,92,67
354,bubaque,11.28,83.73,5.77,56,93
355,lazaro cardenas,28.39,89.6,4.32,20,27
356,bambanglipuro,-7.95,70.77,8.9,20,83
357,houston,29.76,75.2,5.82,90,94
358,midland,32.0,96.8,8.05,0,26
359,hede,60.45,71.6,6.93,0,33
360,nikolskoye,59.7,64.4,2.24,20,63
361,storforshei,66.4,59.0,6.93,75,62
362,jardim,-21.48,85.26,6.78,0,47
363,thohoyandou,-22.97,56.1,5.32,0,67
364,ullapool,57.9,63.75,6.67,8,74
365,worthington,43.62,80.6,9.17,1,88
366,campbell river,50.02,71.6,3.36,75,49
367,marrakesh,31.63,91.4,5.82,20,27
368,wooster,40.8,91.4,4.7,90,94
369,waddan,29.16,94.08,9.01,0,16
370,baragua,21.7,90.03,5.88,76,77
371,henties bay,-22.12,66.0,5.99,0,63
372,yecla,38.61,84.2,5.82,0,51
373,warman,52.32,55.4,12.75,90,93
374,sainte-thecle,46.82,85.62,2.98,44,58
375,conakry,9.52,76.35,6.67,88,100
376,buenaventura,3.89,73.83,2.98,88,98
377,kabare,-1.65,66.0,5.55,88,71
378,prince rupert,54.32,68.0,5.82,1,72
379,povenets,62.85,64.83,8.23,92,68
380,isangel,-19.55,71.4,22.55,92,100
381,fethiye,36.62,82.4,6.93,0,61
382,bucerias,20.76,87.8,4.7,75,62
383,mosquera,4.71,59.0,13.87,75,72
384,teguldet,57.31,49.08,2.86,24,89
385,maxixe,-23.86,62.6,4.7,20,82
386,pangnirtung,66.15,48.2,17.22,40,70
387,mayumba,-3.44,72.48,8.23,92,95
388,port blair,11.67,77.52,17.74,92,100
389,ruwi,23.6,100.4,9.17,24,37
390,paita,-5.09,78.78,7.23,0,63
391,belmonte,40.36,68.52,7.11,0,63
